"OPTY_ID","DRVD_BU_MKT_SEG_NM","DRVD_SVP_REGN_NM","OPTY_BAND","WON_AMT","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","LEAD_TYP","OPTY_AGE","WON_FLG","INDUSTRY_NM","EMP_BAND","SPRT_LVL_NM"
"0063000000yWxuWAAS","CMRCL","AMER","<1K",780,"Casenex +1 ( 9 pe)","Add-On Business","AE","Other",1483,"Y","Education","<50","Basic"
"0063000001365GlAAI","Other","AMER","<1K",840,"soteria- (+1) 1 DeskP","New Business","SDR","Other",955,"Y","High Tech","<50","Basic"
"0063000000CzpEwAAJ","Other","AMER","<1K",672,"ALMAG Aluminum Inc. - (+1)12PE","Add-On Business","AE","Other",4019,"Y","Manufacturing","50-200","Basic"
"0063000000ziZ3KAAU","Other","AMER","1K-5K",1275,"Northbound - Webstore","Add-On Business","AE","Other",1332,"Y","Professional Services","50-200","Basic"
"0063000000vX92IAAS","Other","AMER","<1K",900,"Zillow, RentJuice Division - Webstore","Add-On Business","AE","Other",1954,"Y","Communications & Media","<50","Basic"
"00630000011ivkFAAQ","Other","AMER","1K-5K",3051,"RelateIQ Historic: Tilt (Formerly Crowdtilt) - Upsell - $3051","Add On Business","AE","Other",1059,"Y","Professional Services","200-1000","Basic"
"0063000000xkIFdAAM","Other","EMEA","<1K",194.4,"ProjectsOne +1 (10GE)","Add-On Business","AE","Other",1621,"Y","Professional Services","<50","Basic"
"0063000000vWTcDAAW","Other","AMER","10K-100K",10800,"Zillow, RentJuice Division (+10 EE) 36 EE","Add-On Business","AE","Other",1975,"Y","Communications & Media","<50","Basic"
"0063000000xZucrAAC","Other","AMER","<1K",111.72,"RE/MAX Plus Cannan Team_OEM","New Business","AE","Other",1555,"Y","Other","<50","Basic"
"0063000000zhMuPAAU","Other","APAC","<1K",103.2,"Skyetech Solutions - Sales Console","Add-On Business","AE","Other",1365,"Y","High Tech","<50","Basic"
"0063000000libw2AAA","Other","AMER","1K-5K",1170,"Ferguson - Oregon (+1EE) 4EE","Add-On Business","BDR","Other",2543,"Y","Manufacturing","<50","Basic"
"00630000012Z3p3AAC","Other","AMER","1K-5K",1125,"BlackStratus (+1)","Add-On Business","AE","Other",883,"Y","High Tech","50-200","Basic"
"00630000012Z5mpAAC","CMRCL","AMER","<1K",0.14,"Alliance Health - Private Domain - Dec 2015 - Term 2","Add-On Business","AE","Other",0,"Y","Healthcare & Life Sciences","50-200","Basic"
"0063000000zkCDZAA2","ENTR","AMER","5K-10K",8100,"eBioscience (+3) 116 UE, renewal addon","Add-On Business","AE","Other",1262,"Y","Professional Services","50-200","Basic"
"006300000137XjoAAE","Other","AMER","1K-5K",3825,"Littlethings (+3) 7 PE + API + PSA","Add-On Business","AE","Other",0,"Y","Communications & Media","50-200","Basic"
"00630000010OMNjAAO","Other","AMER","<1K",300,"A Anthony Corp - Webstore","New Business","AE","Other",1176,"Y","Other","<50","Basic"
"0060M000013oZUhQAM","CMRCL","AMER","1K-5K",1918.8,"First Point Management - VCC Brands - Webstore","Add-On Business","AE","Other",0,"Y","Other","50-200","Basic"
"0060M000015Zk67QAC","ESMB","EMEA","1K-5K",4320,"Planeta Sport - Service Cloud (3 & 5 years offer)","New Business","AE","Other",0,"Y","Retail & CG","200-1000","Basic"
"0060M000015Xi5pQAC","ENTR","JP",">500K",3131172,"Shell Lubricants Japan K.K.  UE  LPP +10(44), CCP +30(391),","Add-On Business","AE","Other",0,"Y","Manufacturing","50-200","Premier"
"0060M000015IL91QAG","ENTR","JP","100K-500K",121716,"HASEKO CORPORATION PartnerPortal+3","Add-On Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","1000-5000","Basic"
"0060M000015XmpmQAC","CMRCL","JP","100K-500K",176400,"Houkago NPO Afterschool - EE(20),LPP+7(13), Customer Community Member(6)","Add-On Business","AE","Other",0,"Y","Other","<50","Basic"
"006300000136boqAAA","Other","AMER","1K-5K",1044,"CubaLlama-Add-on/Upgrade","Add-on/Upgrade","AE","Other",919,"Y","Other","<50","Basic"
"0063000000vVbc4AAC","Other","EMEA","<1K",76.33,"Buller Immobilien GbR_OEM","New Business","AE","Other",2001,"Y","Other","<50","Basic"
"0060M000015Zrm5QAC","CMRCL","JP","100K-500K",108000,"【Reseller】Kyosin Corporation-EE+1(5), FEE(8), FEA(8), ChatterPlus(11)","Add-On Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0060M000011lJGfQAM","Other","AMER","100K-500K",175000.8,"KeyBank Ramp from SELA","Add-On Business","AE","Other",0,"Y","Other",">5000","Other"
"006300000136k8rAAA","Other","AMER","<1K",900,"Buffington, Mohr, McNeal_OEM","Add-On Business","AE","Other",906,"Y","Financial Services","<50","Basic"
"0063000000vWteLAAS","Other","EMEA","<1K",62.87,"Heubach-Immobilien_OEM","New Business","AE","Other",1962,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"00630000010mIjVAAU","Other","EMEA","1K-5K",1740,"Outfittery GmbH-Add-on/Upgrade","Add-on/Upgrade","SDR","Other",1185,"Y","Retail & CG","50-200","Basic"
"0060M000014JTPiQAO","CMRCL","APAC","10K-100K",48600,"CROMPTON GREAVES LIMITED ( +150EE) +150EE","New Business","BDR","Other",0,"Y","Retail & CG","1000-5000","Basic"
"0063000000wLFkcAAG","Other","AMER","1K-5K",2340,"Ferguson Enterprises - Oregon Office - Webstore","Add-On Business","AE","Other",1830,"Y","Manufacturing","<50","Basic"
"00630000012pOnWAAU","Other","EMEA","<1K",348,"Outfittery GmbH-Add-on/Upgrade","Add-on/Upgrade","SDR","Other",1032,"Y","Retail & CG","50-200","Basic"
"00630000011NMeXAAW","Other","EMEA","1K-5K",1740,"Outfittery GmbH-Add-on/Upgrade","Add-on/Upgrade","SDR","Other",1123,"Y","Retail & CG","50-200","Basic"
"00630000011iw33AAA","Other","LACA","<1K",300,"RelateIQ Historic: Ideiasnet - New Deal - $300","New Business","AE","Other",1059,"Y","Communications & Media","<50","Basic"
"0063000000x3k1cAAA","Other","EMEA","<1K",48.88,"Pfaff Immobilien GmbH_OEM","New Business","AE","Other",1752,"Y","Other","<50","Basic"
"0063000000nhRv5AAE","Other","LACA","5K-10K",9072,"NEXTEL Telecomunicações Ltda-+60 Ramp","New Business","AE","Other",2382,"Y","Communications & Media",">5000","Premier"
"0063000000zENJ9AAO","Other","AMER","<1K",900,"Medical Education Academy Inc. - (+3) 3 GE","New Business","SDR","Inbound Call",1438,"Y","Other","<50","Basic"
"0063000000x3ahDAAQ","Other","AMER","<1K",897,"Nick Winch-iSirona +1PE","New Business","AE","Other",1757,"Y","Healthcare & Life Sciences","50-200","Premier"
"0063000000zgsRsAAI","Other","APAC","1K-5K",1008,"ANATAS Labs- (3)(+3GE)","New Business","SDR","Demo Center Registration",1375,"Y","Other","<50","Basic"
"0063000000xkeYCAAY","Other","EMEA","1K-5K",1728,"Fab.com GmbH - 3PE (3PE)","New Business","SDR","Inbound Call",1617,"Y","Retail & CG","200-1000","Basic"
"00630000012OW8rAAG","Other","AMER","5K-10K",7128,"Adair Griffin Ltd. (SunFunder) (+6)  14 RelateIQ Business","Add-On Business","AE","Other",1042,"Y","High Tech","<50","Basic"
"0063000000zgdpUAAQ","Other","AMER","1K-5K",1275,"Northbound - Webstore","Add-On Business","AE","Other",1379,"Y","Professional Services","50-200","Basic"
"006300000136c73AAA","Other","AMER","<1K",468,"Stilago- bg (Bulgaria)-Add-on/Upgrade","Add-on/Upgrade","AE","Other",919,"Y","Other","<50","Basic"
"00630000010wPmYAAU","Other","AMER","<1K",300,"Shannon Feliciano, Realtor®_VAR","New Business","AE","Other",1155,"Y","Other","<50","Basic"
"0063000000yWEJnAAO","Other","AMER","<1K",480,"Monticello Motor Club 2nd Org - Upgrade 1 GE to PE","Upgrade","AE","Other",1506,"Y","Communications & Media","<50","Basic"
"00630000011ivpyAAA","Other","AMER","<1K",600,"RelateIQ Historic: vidIQ - New Deal - $600","New Business","AE","Other",1059,"Y","High Tech","<50","Basic"
"0060M0000151n24QAA","ENTR","APAC","<1K",0,"SIA 3 Months PA Extension (License)","New Business","AE","Other",0,"Y","Travel, Transportation, & Hospitality",">5000","Premier"
"0063000000wLKiIAAW","Other","AMER","1K-5K",1425,"Topsy (+1) 36 EE","Add-On Business","AE","Other",1829,"Y","Communications & Media","<50","Premier"
"0063000000FdhfVAAR","Other","AMER","1K-5K",1500,"Atrion International, Inc. - (+500mb)","Add-On Business","AE","Other",3873,"Y","High Tech","50-200","Basic"
"0063000000uNapVAAS","Other","AMER","<1K",180,"CloudPro - Webstore","New Business","SDR","Sign-Up Form (GE)",2102,"Y","Other","<50","Basic"
"0063000000xlo1RAAQ","Other","AMER","1K-5K",1800,"eyeBrain Medical (+4EE) 6EE","Replacement","AE","Other",1590,"Y","Healthcare & Life Sciences","<50","Basic"
"00630000012UZV5AAO","Other","AMER","1K-5K",2850,"Trillium edq test_addon","New Business","ECS","Other",930,"Y","Other",">5000","Basic"
"00630000011iuj9AAA","Other","AMER","1K-5K",1176,"RelateIQ Historic: Adair Griffin Ltd. (SunFunder) - New Deal - $1176","New Business","AE","Other",1059,"Y","High Tech","<50","Basic"
"0063000000k9gRgAAI","Other","AMER","1K-5K",4176,"Eloqua - 3rd org +4EE","New Business","AE","Other",2688,"Y","High Tech","200-1000","Basic"
"0063000000vVdelAAC","Other","EMEA","1K-5K",1680,"Mercury Media Science- 4PE Opp","New Business","SDR","Inbound Call",1998,"Y","Communications & Media","<50","Basic"
"0063000000vURFhAAO","ESMB","AMER","1K-5K",1500,"Inpensa- (1-2) Data.com","New Business","AE","Demo Center Registration",2046,"Y","Other","50-200","Basic"
"0063000000vWynzAAC","CMRCL","AMER","<1K",0,"Cuff's Industrial LLC - Data.com (add-on SKU)","Add-On Business","Cloud Sales","Other",1960,"Y","Other","50-200","Basic"
"0063000000zYAdpAAG","Other","AMER","<1K",60,"zero k, inc. - Webstore","Add-On Business","AE","Other",1403,"Y","Other","<50","Basic"
"00630000011iw3hAAA","Other","AMER","1K-5K",1188,"RelateIQ Historic: Neon Labs - Upsell - $1188","Add On Business","AE","Other",1059,"Y","High Tech","<50","Basic"
"0063000000xmIHPAA2","Other","AMER","10K-100K",15750,"Euramax International (+15 EE) 130 EE","Add-On Business","AE","Other",1585,"Y","Other","1000-5000","Basic"
"0060M000015C6SOQA0","CMRCL","EMEA","10K-100K",24840,"Advenis + 500GB Data Storage","Add-On Business","AE","Other",0,"Y","Financial Services","200-1000","Premier"
"0060M000014KFaIQAW","Other","AMER","<1K",900,"Carrington Mortgage Holdings - Webstore","New Business","AE","Other",0,"Y","Financial Services","<50","Basic"
"0063000000xZi8nAAC","Other","AMER","1K-5K",2760,"Soldsie- (+2) 10 EE","Add-On Business","SDR","Other",1562,"Y","High Tech","<50","Basic"
"0063000000vUJboAAG","Other","EMEA","<1K",53.87,"Engel Immobilien_OEM","New Business","AE","Other",2051,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0063000000uObpkAAC","Other","EMEA","<1K",53.87,"ImmoSüdwest_OEM","New Business","AE","Other",2071,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0060M000015XtjVQAS","CMRCL","AMER","<1K",164.7,"CFGI_OEM","Add-On Business","AE","Other",0,"Y","Financial Services","<50","Basic"
"0060M000015Sqz7QAC","CMRCL","JP","10K-100K",90000,"トーマツイノベーション株式会社_OEM","New Business","AE","Other",0,"Y","Professional Services","200-1000","Basic"
"0060M000015INdSQAW","CMRCL","JP",">500K",692599.68,"OFFICE BANK Co., Ltd-EE+1(1),LPP+6(6), Premier","New Business","SDR","Demo Center Registration",0,"Y","Engineering, Construction, & Real Estate","<50","Premier"
"0060M0000153BGaQAM","CMRCL","JP",">500K",950400,"【Reseller】TOKYO SEKISUIHEIM K.K.-Force EE+80(1080),Event Monitoring","Add-On Business","AE","Partner Sourced",0,"Y","Engineering, Construction, & Real Estate","1000-5000","Premier"
"0060M0000155CWHQA2","ESMB","EMEA","1K-5K",1080,"1 EE Service - CRM Centric","New Business","AE","Other",0,"Y","High Tech","<50","Basic"
"0063000000wLN2GAAW","Other","AMER","10K-100K",31591.8,"Wingspan Portfolio Advisors (+30 EE Upgrade +PSA)","Upgrade","AE","Other",1828,"Y","Financial Services","200-1000","Basic"
"0063000000vXym8AAC","Other","EMEA","1K-5K",1944,"Ocleen TV Deutschland GmbH -5 GE/PE","New Business","SDR","Sign-Up Form (GE)",1927,"Y","High Tech","<50","Basic"
"00630000010wdwIAAQ","Other","AMER","<1K",588,"SnapChat","Add-on/Upgrade","SDR","Other",1154,"Y","Other","<50","Basic"
"0063000000lgakuAAA","Other","LACA","10K-100K",30000,"Intelig-TIM (+50PE) 50PE","New Business","AE","Other",2582,"Y","Communications & Media","200-1000","Basic"
"0063000000uNRUsAAO","Other","EMEA","<1K",161.6,"AS Immobilien Rhein-Neckar_OEM","New Business","AE","Other",2107,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0063000000uMuumAAC","Other","EMEA","<1K",53.87,"Werbeagentur Mötzing e.K._OEM","New Business","AE","Other",2123,"Y","Communications & Media","<50","Basic"
"0063000000uOBMBAA4","Other","EMEA","<1K",53.87,"Valerica Schwender Immobilien_OEM","New Business","AE","Other",2085,"Y","Other","<50","Basic"
"0063000000uOmk8AAC","Other","EMEA","<1K",188.07,"Kraft Immobilien_OEM","New Business","AE","Other",2065,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0063000000ztMtUAAU","Other","AMER","<1K",60,"Upper Mountain Innovations & Development LLC - Webstore","New Business","SDR","Other",1367,"Y","Professional Services","<50","Basic"
"0063000000x3xZSAAY","Other","AMER","10K-100K",39180,"The Campus Special (+50EE and 600PP) RAMP Dummy Opp","Add-On Business","AE","Other",1745,"Y","Communications & Media","200-1000","Basic"
"0063000000ziG2dAAE","Other","AMER","1K-5K",1500,"SGPowerlink (+5GE) 5GE","New Business","AE","Other",1343,"Y","Professional Services","200-1000","Basic"
"0063000000xkJ3fAAE","Other","EMEA","<1K",48,"SARL PIERRE FRANCOIS IMMOBILIER - Webstore","New Business","SDR","Other",1620,"Y","Retail & CG","<50","Basic"
"0063000000x5pzmAAA","Other","AMER","1K-5K",1600,"XLance Consulting - (+1) 1 GE + data.com","New Business","SDR","Inbound Call",1665,"Y","Other","<50","Basic"
"0063000000DUIpzAAH","Other","AMER","10K-100K",12375,"TrueContext - (+11)19EE","Add-On Business","AE","Other",3983,"Y","High Tech","<50","Basic"
"0063000000yVoaZAAS","Other","AMER","1K-5K",2400,"Pinnacle Health- 3rd Org [EBR]- Benefits Management (+1) 1 EE + 1 Data.com + PSA","New Business","BDR","Other",1521,"Y","Healthcare & Life Sciences","1000-5000","Basic"
"0063000000ngGZaAAM","Other","AMER","<1K",780,"MacDonald, Dettwiler and Associates Inc - Org 2 - Webstore","New Business","AE","Other",2410,"Y","High Tech","1000-5000","Basic"
"006300000101kHFAAY","Other","AMER","<1K",600,"Speng - Webstore","New Business","SDR","Other",1330,"Y","Other","<50","Basic"
"006300000103sZDAAY","Other","AMER","<1K",60,"Personal use - Webstore","New Business","AE","Other",1198,"Y","Other","<50","Basic"
"0063000000zjbQCAAY","Other","APAC","<1K",420,"Self-employed - Webstore","New Business","SDR","Other",1293,"Y","Other","<50","Basic"
"0063000000ywfRyAAI","Other","AMER","10K-100K",13200,"Landstar Montreal- (+6) Upgrade 2 PE >  8 EE + PSA? + Future?","Add-On Business","AE","Other",1519,"Y","Travel, Transportation, & Hospitality","200-1000","Basic"
"00630000012TzUBAA0","Other","AMER","10K-100K",10200,"Variety - Pardot","New Business","AE","Other",960,"Y","Professional Services","200-1000","Basic"
"0063000000uNc1NAAS","Other","AMER","<1K",180,"CloudPro - Webstore","Add-On Business","AE","Other",2101,"Y","Other","<50","Basic"
"00630000012WdoxAAC","Other","AMER","1K-5K",1188,"RelateIQ Historic: Framed Data - Upsell - $1188","Add-On Business","AE","Other",1053,"Y","High Tech","<50","Basic"
"0063000000xPricAAC","Other","AMER","<1K",600,"ExpenseBite +2GE","New Business","AE","Other",1683,"Y","High Tech","50-200","Basic"
"0063000000x5uvdAAA","Other","EMEA","<1K",840,"Iconfex bv - 1PE","New Business","SDR","Sign-Up Form",1662,"Y","High Tech","<50","Basic"
"0060M000012VP61QAG","ESMB","APAC","<1K",420,"Trails of Indochina - (+1) 1 Ess + Inbox","New Business","SDR","Demo Center Registration",0,"Y","Other","<50","Basic"
"0060M000015ZogsQAC","ENTR","JP","10K-100K",81000,"Rakuten,Inc.(Sports&Entertainment Section)-EE+1(13)","Add-On Business","ECS","Other",0,"Y","Communications & Media",">5000","Basic"
"0060M000015IBnUQAW","ENTR","EMEA","<1K",0,"Hubert Burda Media KG - Temp Early Renewal","Renewal","AE","Other",0,"Y","Communications & Media","<50","Premier"
"0060M000015XuT9QAK","CMRCL","AMER","1K-5K",2160,"At Home Solutions +1","Add-On Business","AE","Other",0,"Y","Healthcare & Life Sciences","200-1000","Premier"
"0060M000015IYARQA4","CMRCL","JP","<1K",0,"KIRISHIMA SHUZO CO.,LTD. OEM_Yokogawa Solution Service Customer Admin(1) Swap","Add-On Business","AE","Other",0,"Y","Retail & CG","200-1000","Basic"
"0060M000015Xue7QAC","CMRCL","AMER","<1K",9,"EastWest Institute_ISVForce","Add-On Business","AE","Other",0,"Y","Healthcare & Life Sciences","<50","Basic"
"0060M000015XuzKQAS","CMRCL","AMER","<1K",171.99,"Sumo Logic_ISVForce","Add-On Business","AE","Other",0,"Y","High Tech","200-1000","Premier"
"0060M000013oZOyQAM","ENTR","AMER","10K-100K",36540,"Money Services, Inc._ISVForce_Renewal","Renewal","AE","Other",0,"Y","Financial Services","1000-5000","Signature"
"0060M000014XQARQA4","ENTR","AMER","<1K",0,"The Spectranetics Corporation Renewal Price Increase","Renewals Uplift","AE","Other",0,"Y","Healthcare & Life Sciences","1000-5000","Premier"
"0060M000012VOwLQAW","US PS","AMER","<1K",0,"Chi 311 go-live courtesy","Courtesy","AE","Other",0,"Y","Public Sector","<50","Premier"
"0060M000015I7w8QAC","ENTR","JP","<1K",0,"YAZAKI CORPORATION - Courtesy 1month EE+130","Courtesy","AE","Other",0,"Y","Manufacturing","1000-5000","Premier"
"0060M0000150KW0QAM","CMRCL","AMER","10K-100K",39332.88,"Life Is Good Renewal ACV: Upgrade New P&P+Addtl SMs +Addtl Contacts+Ads+Social","Add-On Business","AE","Other",0,"Y","Retail & CG","200-1000","Premier"
"0060M0000155CK1QAM","CMRCL","AMER","1K-5K",1436.64,"Adara_ISVForce","Renewal","AE","Other",0,"Y","High Tech","50-200","Premier"
"0060M000015Xt9wQAC","ENTR","EMEA","10K-100K",19657.44,"Accor Add-on","Add-On Business","ECS","Other",0,"Y","Travel, Transportation, & Hospitality",">5000","Premier"
"0060M000015IRkNQAW","ESMB","APAC","10K-100K",22161.72,"Flare (+9EE)  24EE Ramp Deal","Add-On Business","AE","Other",0,"Y","Other","<50","Basic"
"0060M000015EVubQAG","ENTR","JP","<1K",0,"【RAMP】【Reseller】DAIMARU MATSUZAKAYA DEPARTMENT STORES CO.LTD., Prd -Force UE+780(800)","Add-On Business","AE","Other",0,"Y","High Tech","50-200","Premier"
"0060M000014qzv6QAA","ENTR","LACA","10K-100K",16567.32,"CDL São Paulo - (+57) 57 SFA (Ramped)","Add-On Business","ECS","Other",0,"Y","Financial Services",">5000","Premier"
"0060M000015Zt2kQAC","ENTR","JP","<1K",0,"Nihon L'Oreal K.K. MC Services License Opportunity 1-1 FP","New Business","AE","Other",0,"Y","Retail & CG","1000-5000","Basic"
"0060M000015AqoOQAS","CMRCL","EMEA","10K-100K",34200,"Centres, Foyers Et Services Pour Personnes Âgées Etabl. Public-","New Business","BDR","Other",0,"Y","Healthcare & Life Sciences","200-1000","Basic"
"0060M000015ZpWKQA0","CMRCL","AMER","1K-5K",1200,"Survata - Webstore","Add-On Business","AE","Other",0,"Y","Professional Services","<50","Basic"
"0060M000015XuG0QAK","ESMB","AMER","<1K",300,"Jaffe Wealth Management & Consulting Inc_OEM","Add-On Business","AE","Other",0,"Y","Financial Services","<50","Basic"
"0060M000014Fuk0QAC","ESMB","AMER","<1K",0,"Center for Biomedical Research, LLC_OEM_swap","Renewal","AE","Other",0,"Y","Healthcare & Life Sciences","<50","Basic"
"00630000012yPT0AAM","CMRCL","AMER","<1K",340.56,"Percheron LLC - Webstore","Add-On Business","AE","Other",1004,"Y","Engineering, Construction, & Real Estate","1000-5000","Premier"
"00630000012P8z0AAC","CMRCL","AMER","1K-5K",4290,"Poettker Construction (+5 PE + PS)","New Business","BDR","Other",1004,"Y","Engineering, Construction, & Real Estate","200-1000","Basic"
"006300000102y3CAAQ","CMRCL","JP",">500K",4381200,"NIHONDO Co., Ltd.-FPxEadmin+1,FEA+298(299)","New Business","SDR","Seminar",1240,"Y","Healthcare & Life Sciences","50-200","Premier"
"00630000012X0RhAAK","ESMB","APAC","1K-5K",3900,"[David-SZ]Suzhou Carpa Design-(+5PE)5PE","New Business","SDR","Other",1031,"Y","Retail & CG","<50","Basic"
"00630000012QIM1AAO","ESMB","JP",">500K",612000,"ATARA, LLC - Webstore","Add-On Business","AE","Other",0,"Y","High Tech","<50","Basic"
"006300000137kjFAAQ","CMRCL","AMER","5K-10K",7800,"Fast Technology-(+10) 10 PE","New Business","SDR","Inbound Call",0,"Y","Professional Services","200-1000","Premier"
"0060M000014qbzzQAA","ESMB","EMEA","<1K",132,"Omniyat Middle East Real Estate Developments LLC_ISVForce","New Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0060M000014NzCEQA0","CMRCL","EMEA","<1K",561.65,"Altimate - 1 licence Sales Cloud","Add-On Business","AE","Other",0,"Y","High Tech","50-200","Premier"
"0060M000014NzXMQA0","ESMB","AMER","1K-5K",1991.88,"Updater (2nd Org) - (+2) 2 EE","New Business","AE","Other",0,"Y","Communications & Media","<50","Basic"
"0060M000014O2KaQAK","CMRCL","AMER","5K-10K",5006.25,"Packers Sanitation Services, Inc., Ltd. - (+25FDC) 710","Add-On Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","200-1000","Basic"
"0063000000yWtk1AAC","ESMB","EMEA","5K-10K",5820,"CoAdvertise GmbH- 5 EE","New Business","SDR","Demo Center Registration",1485,"Y","Other","<50","Basic"
"0060M000013snu4QAA","Other","JP",">500K",2835000,"Deloitte Tohmatsu Consulting LLC,ForceAdmin+3(3)FAB+32(32)","New Business","AE","Other",0,"Y","Professional Services","1000-5000","Basic"
"0060M000011l7IHQAY","ENTR","EMEA","1K-5K",2341.44,"LGIM +2","Add-On Business","ECS","Other",0,"Y","Financial Services","200-1000","Premier"
"0060M000011l8D3QAI","CMRCL","AMER","5K-10K",6480,"Greenphire Renewal (+6 Desk.com Pro)","New Business","AE","Other",0,"Y","Professional Services","50-200","Basic"
"0060M000013t1GoQAI","CMRCL","AMER","10K-100K",17622,"Evolutions Footwear Inc. (+11) 11EE","New Business","BDR","Other",0,"Y","Retail & CG","50-200","Premier"
"0063000000MUfgwAAD","ENTR","AMER","1K-5K",3915,"M  I L.L.C.  (+2EE) 141EE","Add-On Business","AE","Other",3612,"Y","Manufacturing","1000-5000","Basic"
"0063000000wL08jAAC","CMRCL","AMER","<1K",300,"SSG - Webstore","New Business","SDR","Other",1839,"Y","Other","<50","Basic"
"0060M000013WJriQAG","CMRCL","AMER","10K-100K",10799.8,"SB - Instructure, Inc. - FY16 Close","New Business","AE","Other",686,"Y","High Tech","200-1000","Premier"
"0060M000013GNlDQAW","ESMB","AMER","10K-100K",19800,"Centennial Wealth Advisory, LLC +15 EE (15 EE)","New Business","AE","Other",0,"Y","Financial Services","<50","Basic"
"0060M000013GNkPQAW","CMRCL","AMER","1K-5K",1500,"Shape - Webstore","Add-On Business","AE","Other",0,"Y","High Tech","50-200","Basic"
"0060M000014zuqtQAA","ESMB","APAC","<1K",318.6,"Innovative Retail_OEM","Add-On Business","AE","Other",0,"Y","Retail & CG","<50","Basic"
"0060M0000153jXdQAI","CMRCL","AMER","<1K",0,"Netskope (+PRM Courtesy)","Courtesy","AE","Other",0,"Y","High Tech","200-1000","Basic"
"0060M000015GDNDQA4","CMRCL","AMER","<1K",408.2,"Automotive Rentals, Inc._ISVForce","Add-On Business","AE","Other",0,"Y","Travel, Transportation, & Hospitality","1000-5000","Basic"
"0060M000013wUSRQA2","ENTR","EMEA","<1K",300,"Citizens UK_Sage_Wave_OEM_043017","New Business","AE","Other",0,"Y","Other","50-200","Basic"
"0060M000014UPFXQA4","CMRCL","AMER","<1K",0,"Safe Harbor - FSL Courtesy Contract 2","Courtesy","AE","Other",0,"Y","Healthcare & Life Sciences","50-200","Basic"
"0060M000014UPUrQAO","CMRCL","AMER","<1K",171,"Achievers Solutions, Inc._ISVForce","Add-On Business","AE","Other",0,"Y","Professional Services","200-1000","Basic"
"0060M000014JlSIQA0","CMRCL","JP","5K-10K",6000,"CELM, INC. ISVForce_SunBridge_Renewal_Plan-1800_(1)","Renewal","AE","Other",0,"Y","Communications & Media","50-200","Basic"
"0060M000014MwpsQAC","CMRCL","AMER","1K-5K",2018,"Navicure_OEM","New Business","AE","Other",0,"Y","High Tech","200-1000","Premier"
"0063000000ftGpsAAE","CMRCL","AMER","<1K",0,"American Data Company +1 (9) EE","Add-On Business","AE","Other",2827,"Y","High Tech","<50","Basic"
"0060M000011kd3hQAA","ENTR","EMEA","<1K",0,"Courtesy - Service and Community - Divestment POC","Courtesy","ECS","Other",0,"Y","Manufacturing",">5000","Premier"
"0060M000011keuXQAQ","CMRCL","AMER","1K-5K",1875,"Mortgage Center (+1EE) 24EE","Add-On Business","AE","Other",0,"Y","Financial Services","<50","Premier"
"0060M000013UaB2QAK","ESMB","AMER","1K-5K",3390,"Fujikura Composite America, Inc. - 10 PE --> 10 EE Upgrade","Upgrade","AE","Other",0,"Y","Retail & CG","<50","Basic"
"00630000012zU9LAAU","ESMB","EMEA","<1K",30.24,"Knight Dragon_ISVForce","Add-On Business","AE","Other",941,"Y","Financial Services","50-200","Premier"
"00630000012TaZeAAK","CMRCL","AMER","1K-5K",1200,"Corrosion Materials - Pardot - <5K Database Ovg","Add-On Business","AE","Other",976,"Y","Manufacturing","200-1000","Basic"
"00630000012zGQwAAM","CMRCL","AMER","<1K",300,"Elizabeth Gallo Court Reporting- (+1) 1 Starter #SUO","New Business","SDR","Sign-Up Form",955,"Y","Professional Services","<50","Basic"
"00630000012DiQUAA0","ESMB","AMER","5K-10K",7312.8,"Cale Parking (+38) 38 EE Upgrade + Ramp (23 in July)","Upgrade","AE","Other",1059,"Y","Manufacturing","<50","Basic"
"006300000136hT0AAI","CMRCL","AMER","1K-5K",3206.25,"New Mexico Military Institute_ISVForce","New Business","AE","Other",912,"Y","Education","200-1000","Basic"
"00630000012yGYoAAM","ENTR","EMEA","10K-100K",16961.65,"AstraZeneca - force + Shield only","New Business","AE","Other",1016,"Y","Healthcare & Life Sciences",">5000","Premier"
"0063000000zEYMNAA4","ESMB","APAC","5K-10K",5388,"Astute - EE upgrade","Upgrade","AE","Other",1432,"Y","High Tech","<50","Basic"
"00630000012UlfUAAS","CMRCL","AMER","<1K",195,"Usablenet_ISVForce","New Business","AE","Other",917,"Y","Communications & Media","200-1000","Basic"
"0063000000SIcazAAD","ESMB","AMER","1K-5K",1350,"IPexpert, Inc. (+1) 11EE","Add-On Business","AE","Other",3361,"Y","Education","<50","Basic"
"0063000000s4rNvAAI","ESMB","AMER","5K-10K",7200,"Likeable Media - BUS ED","Replacement","AE","Other",2215,"Y","Professional Services","<50","Premier"
"0060M000014ZxkPQAS","ESMB","EMEA","<1K",168,"MfindIT - Webstore","Add-On Business","AE","Other",0,"Y","High Tech","<50","Basic"
